LOCATION,DATES,CLOSURE TYPE,PURPOSE,HOTLINE
UTOPIA RD: 29TH ST - 29TH PL,09-16-2019 - 09/27/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
BUCKEYE RD: 63RD AVE - 67TH AVE,09-06-2019 - 09/27/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
PARADISE LN: 61ST ST - 60TH ST,09-16-2019 - 09/27/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
63RD AVE: BUCKEYE RD - SHERMAN ST,09-06-2019 - 09/27/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
65TH AVE: BUCKEYE RD - SHERMAN ST,09-06-2019 - 09/27/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
TATUM BLVD: THUNDERBIRD RD - CACTUS RD,09-16-2019 - 09/27/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
32ND ST: THUNDERBIRD RD - CACTUS RD,09-16-2019 - 09/27/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
56TH ST: MAYO BLVD - MICHELLE DR,09-16-2019 - 09/27/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
SOUTHERN AVE: 7TH ST - 8TH ST,09-09-2019 - 09/27/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
CENTRAL AVE: VIRGINIA AVE - ROANOKE AVE,09-10-2019 - 09/27/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
THOMAS RD: 79TH AVE - 75TH AVE,09-12-2019 - 09/27/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
CENTRAL AVE: CHAMBERS ST - SUNLAND AVE,09-10-2019 - 09/27/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
67TH AVE: GRANT ST - ADAMS ST,09-12-2019 - 09/27/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
67TH AVE: HAPPY VALLEY RD - JOMAX RD,09-13-2019 - 09/27/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
WIER AVE: 38TH AVE - 39TH AVE,09-11-2019 - 09/27/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
35TH AVE: MICHIGAN AVE - BLUEFIELD AVE,09-13-2019 - 09/27/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
JEFFERSON ST: 15TH ST - 16TH ST,09-16-2019 - 09/27/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
BELL RD: TATUM BLVD - 49TH ST,09-13-2019 - 09/27/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
SWEETWATER AVE: 18TH PL - 19TH PL,09-16-2019 - 09/27/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
7TH AVE: JEFFERSON ST - WASHINGTON ST,09-19-2019 - 09/27/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
27TH AVE: QUAIL AVE - ROSE GARDEN LN,09-23-2019 - 09/27/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
MCDOWELL RD: 56TH AVE - 57TH DR,09-23-2019 - 09/27/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
SOUTHERN AVE: 7TH AVE - 9TH DR,09-16-2019 - 09/27/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
35TH AVE: COLTER ST - PASADENA AVE,09-17-2019 - 09/27/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
27TH AVE: COLTER ST - GEORGIA AVE,09-17-2019 - 09/27/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
CAMELBACK RD: 36TH AVE - 37TH AVE,09-17-2019 - 09/27/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
20TH ST: TIERRA BUENA LN - WALTANN LN,09-17-2019 - 09/27/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
HIGHLINE RD: 7TH ST - 8TH ST,09-13-2019 - 09/27/2019,FULL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
CENTRAL AVE: DOBBINS RD - LA MIRADA DR,09-18-2019 - 09/27/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
CAMELBACK RD: 3RD ST - 6TH ST,09-19-2019 - 09/27/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
52ND ST: MCDOWELL RD - MORELAND ST,09-20-2019 - 09/27/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
27TH AVE: YORKSHIRE DR - BEARDSLEY RD,09-19-2019 - 09/27/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
ROSE GARDEN LN: 21ST AVE - 23RD AVE,09-19-2019 - 09/27/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
MOON VALLEY DR: WALTANN LN - CAROL ANN WAY,09-19-2019 - 09/27/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
MOON VALLEY DR: BRAEBURN DR - BROOK HOLLOW DR,09-19-2019 - 09/27/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
JEFFERSON ST: 8TH AVE - 7TH AVE,09-19-2019 - 09/27/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
28TH ST: WOOD ST - ILLINI ST,09-19-2019 - 09/27/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
36TH ST: WOOD ST - ELWOOD ST,09-19-2019 - 09/27/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
UNIVERSITY DR: ELWOOD ST - 37TH ST,09-19-2019 - 09/27/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
WOOD ST: 28TH ST - 36TH ST,09-19-2019 - 09/27/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
67TH AVE: BUCKEYE RD - APACHE ST,09-20-2019 - 09/27/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
24TH ST: VIRGINIA AVE - CAMBRIDGE AVE,09-20-2019 - 09/27/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
32ND ST: MCDOWELL RD - WILLETTA ST,09-23-2019 - 09/27/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
7TH AVE: CAMELBACK RD - MARIPOSA ST,09-20-2019 - 09/27/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
27TH AVE: ROESER RD - BROADWAY RD,09-24-2019 - 09/27/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
JEFFERSON ST: 8TH AVE - 5TH AVE,09-23-2019 - 09/27/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
ADAMS ST: 19TH AVE - 21ST AVE,09-23-2019 - 09/27/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
2ND ST: WASHINGTON ST - JEFFERSON ST,09-24-2019 - 09/27/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
THOMAS RD: 18TH PL - 20TH ST,09-23-2019 - 09/27/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
PARADISE LN: 64TH ST - 64TH PL,09-26-2019 - 09/27/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
26TH AVE: ACOMA DR - HEARN RD,09-26-2019 - 09/27/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
MCDOWELL RD: 25TH ST - 26TH PL,09-26-2019 - 09/27/2019,PARTIAL,UTILITY WORK,602-288-7744
23RD AVE: CARIBBEAN LN - GREENWAY RD,09-26-2019 - 09/27/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
OSBORN RD: 90TH AVE - 90TH DR,09-26-2019 - 09/27/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
WASHINGTON ST: 9TH ST - 8TH ST,09-27-2019 - 09/27/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
35TH AVE: CAMELBACK RD - MISSOURI AVE,09-27-2019 - 09/27/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
SOUTHERN AVE: 16TH AVE - 19TH AVE,09-27-2019 - 09/27/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
GRANT ST: 7TH AVE - 4TH AVE,09-04-2019 - 09/28/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
PORTLAND ST: 3RD ST - 2ND ST,09-14-2019 - 09/28/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
THOMAS RD: 74TH AVE - 72ND DR,09-14-2019 - 09/28/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
107TH AVE: MISSOURI AVE - COLTER AVE,09-18-2019 - 09/28/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
71ST AVE: THOMAS RD - WINDSOR AVE,09-18-2019 - 09/28/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
THOMAS RD: 71ST AVE - 79TH AVE,09-18-2018 - 09/28/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
75TH AVE: ENCANTO BLVD - OSBORN RD,09-18-2019 - 09/28/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
NORTH VALLEY PKWY: DOVE VALLEY RD - 27TH DR,09-21-2019 - 09/28/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
27TH DR: NORTH VALLEY PKWY - CAREFREE HWY,09-21-2019 - 09/28/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
52ND ST: EMILE ZOLA AVE - VOLTAIRE AVE,09-21-2019 - 09/28/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
13TH ST: ADAMS ST - MONROE ST,09-21-2019 - 09/28/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2896
DEER VALLEY RD: 7TH AVE - 23RD AVE,09-27-2019 - 09/28/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
UNION HILLS DR: 20TH ST - 19TH ST,09-25-2019 - 09/28/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
24TH ST: CULVER ST - WILLETTA ST,09-23-2019 - 09/28/2019,PARTIAL,UTILITY WORK,602-288-7744
BELL RD: 43RD AVE - 51ST AVE,09-28-2019 - 09/28/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
19TH AVE: DEER VALLEY RD - ALAMEDA RD,09-27-2019 - 09/28/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
WILLETTA ST: 2ND ST - 3RD ST,09-27-2019 - 09/28/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
INDIAN SCHOOL RD: 34TH ST - 36TH ST,09-28-2019 - 09/28/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
BUCKEYE RD: 20TH AVE - 19TH AVE,09-28-2019 - 09/28/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
19TH AVE: TURNEY AVE - GLENROSA AVE,09-27-2019 - 09/28/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
JEFFERSON ST: 1ST AVE - 2ND ST,09-28-2019 - 09/28/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
VAN BUREN ST: 41ST AVE - 40TH AVE,09-28-2019 - 09/28/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
3RD AVE: ROOSEVELT ST - LATHAM ST,09-28-2019 - 09/28/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
9TH ST: JEFFERSON ST - WASHINGTON ST,09-28-2019 - 09/28/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
JEFFERSON ST: 7TH ST - 9TH ST,09-28-2019 - 09/28/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
CAMELBACK RD: 26TH ST - 28TH ST,09-28-2019 - 09/28/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
CAMELBACK RD: 99TH AVE - 91ST AVE,09-29-2019 - 09/29/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
91ST AVE: CAMELBACK RD - INDIAN SCHOOL RD,09-29-2019 - 09/29/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
59TH AVE: INDIAN SCHOOL RD - CAMELBACK RD,07-29-2019 - 09/29/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
27TH AVE: CAMPBELL AVE - HAZELWOOD ST,09-09-2019 - 09/29/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
WASHINGTON ST: 9TH ST - 11TH ST,09-11-2019 - 09/29/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
1ST AVE: ADAMS ST - JEFFERSON ST,09-27-2019 - 09/29/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
MCDOWELL RD: 48TH ST - 51ST ST,09-28-2019 - 09/29/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
CAMELBACK RD: 5TH ST - 3RD ST,09-28-2019 - 09/29/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
INDIAN SCHOOL RD: CENTRAL AVE - 3RD AVE,09-28-2019 - 09/29/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
PALM LN: 3RD ST - 7TH ST,09-28-2019 - 09/29/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
28TH DR: SAHUARO DR - METRO PKWY,09-28-2019 - 09/29/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
PEORIA AVE: 27TH DR - 31ST AVE,09-28-2019 - 09/29/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
5TH AVE: FILLMORE ST - VAN BUREN ST,09-25-2019 - 09/29/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
THOMAS RD: 18TH PL - 20TH ST,09-28-2019 - 09/29/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
CACTUS RD: BLACK CANYON HWY - 28TH DR,09-28-2019 - 09/29/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
THOMAS RD: 38TH ST - 39TH ST,09-28-2019 - 09/29/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
INDIAN SCHOOL RD: 30TH ST - 32ND ST,09-28-2019 - 09/29/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
MCDOWELL RD: 27TH AVE - 75TH AVE,09-27-2019 - 09/29/2019,PARTIAL,STREET TRANSPORTATION WORK,602-875-8700
VAN BUREN ST: 27TH AVE - 75TH AVE,09-27-2019 - 09/29/2019,PARTIAL,STREET TRANSPORTATION WORK,602-875-8700
CENTRAL AVE: WILSHIRE DR - LEWIS AVE,09-28-2019 - 09/29/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
31ST AVE: MCDOWELL RD - ROOSEVELT ST,02-24-2019 - 09/30/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
35TH AVE: MCDOWELL RD - ROOSEVELT ST,02-24-2019 - 09/30/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
39TH AVE: MCDOWELL RD - ROOSEVELT ST,02-24-2019 - 09/30/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
83RD AVE: MCDOWELL RD - VAN BUREN ST,02-17-2019 - 09/30/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
COLUMBUS AVE: CENTRAL AVE - 3RD ST,03-22-2019 - 09/30/2019,FULL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
WELDON AVE: CENTRAL AVE - 3RD ST,03-22-2019 - 09/30/2019,FULL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
56TH ST: MICHELLE DR - GROVERS AVE,06-03-2019 - 09/30/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2896
MICHELLE DR: 56TH ST - 54TH ST,06-03-2019 - 09/30/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2896
56TH ST: MICHELLE DR - GROVERS AVE,05-14-2019 - 09/30/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2896
79TH AVE: BUCKEYE RD - PAPAGO ST,05-28-2019 - 09/30/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
PIERCE ST: CENTRAL AVE - 1ST ST,09-27-2019 - 09/30/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
CAMELBACK RD: 7TH ST - 8TH PL,06-24-2019 - 09/30/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
CAMELBACK RD: 7TH ST - 8TH PL,06-24-2019 - 09/30/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
MOHAVE ST: 10TH ST - 6TH ST,06-29-2019 - 09/30/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2896
CAMELBACK RD: 7TH ST - 8TH PL,06-25-2019 - 09/30/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
BELL RD: 35TH AVE - BLACK CANYON HWY,07-18-2019 - 09/30/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
67TH AVE: INDIAN SCHOOL RD - THOMAS RD,07-31-2019 - 09/30/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
CAMELBACK RD: 16TH ST - 22ND ST,07-31-2019 - 09/30/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
23RD AVE: RANCHO DR - MISSOURI AVE,08-19-2019 - 09/30/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
BLACK MOUNTAIN BLVD: ROUGH RIDER RD - DEER VALLEY DR,08-23-2019 - 09/30/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
WASHINGTON ST: 7TH ST - 5TH ST,08-27-2019 - 09/30/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
BLACK MOUNTAIN BLVD: ROUGH RIDER RD - DEER VALLEY DR,08-29-2019 - 09/30/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
56TH ST: MICHELLE DR - GROVERS AVE,08-23-2019 - 09/30/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
JEFFERSON ST: 1ST AVE - 2ND ST,08-26-2019 - 09/30/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
SKY HARBOR CIR: BUCKEYE RD - 24TH ST,09-09-2019 - 09/30/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,602-553-0005
15TH ST: VAN BUREN ST - ADAMS ST,09-04-2019 - 09/30/2019,PARTIAL,UTILITY WORK,602-235-2896
ADAMS ST: 16TH ST - 14TH ST,09-04-2019 - 09/30/2019,PARTIAL,UTILITY WORK,602-235-2896
16TH ST: VAN BUREN ST - ADAMS ST,09-10-2019 - 09/30/2019,PARTIAL,UTILITY WORK,602-235-2896
JEFFERSON ST: 12TH ST - 17TH ST,09-05-2019 - 09/30/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2896
14TH ST: WASHINGTON ST - VAN BUREN ST,09-05-2019 - 09/30/2019,FULL,PRIVATE DEVELOPMENT WORK,602-235-2896
WASHINGTON ST: 12TH ST - 16TH ST,09-05-2019 - 09/30/2019,PARTIAL,UTILITY WORK,602-235-2896
12TH ST: VAN BUREN ST - WASHINGTON ST,09-05-2019 - 09/30/2019,PARTIAL,UTILITY WORK,602-235-2896
JACKSON ST: 12TH ST - 16TH ST,09-05-2019 - 09/30/2019,PARTIAL,UTILITY WORK,602-235-2896
13TH ST: VAN BUREN ST - MONROE ST,09-05-2019 - 09/30/2019,FULL,STREET TRANSPORTATION WORK,602-235-2896
16TH PL: JEFFERSON ST - MADISON ST,09-05-2019 - 09/30/2019,PARTIAL,UTILITY WORK,602-235-2896
VAN BUREN ST: 12TH ST - 17TH ST,09-05-2019 - 09/30/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,602-235-2896
3RD ST: WELDON AVE - MONTEREY WAY,09-11-2019 - 09/30/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
32ND ST: TONOPAH DR - MOHAWK LN,09-27-2019 - 09/30/2019,FULL,STREET TRANSPORTATION WORK,NOT APPLICABLE
BEARDSLEY RD: CAVE CREEK RD - 32ND ST,09-27-2019 - 09/30/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
CAVE CREEK RD: ROSE GARDEN LN - BEARDSLEY RD,09-27-2019 - 09/30/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
43RD AVE: MISSOURI AVE - MEDLOCK DR,09-23-2019 - 09/30/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
2ND ST: PIERCE ST - MCKINLEY ST,09-16-2019 - 09/30/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
MONROE ST: 14TH ST - 15TH ST,09-16-2019 - 09/30/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
7TH ST: BUCKEYE RD - MOHAVE ST,09-20-2019 - 09/30/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2896
WASHINGTON ST: 51ST ST - 56TH ST,09-19-2019 - 09/30/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
7TH ST: UNIVERSITY DR - WATKINS ST,09-18-2019 - 09/30/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
CENTRAL AVE: FOREST GROVE AVE - VICTORY ST,09-18-2019 - 09/30/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
CENTRAL AVE: SOUTHGATE AVE - ILLINI ST,09-18-2019 - 09/30/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
ADAMS ST: CENTRAL AVE - 1ST ST,09-29-2019 - 09/29/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
SOUTHERN AVE: 24TH ST - 25TH ST,09-23-2019 - 09/30/2019,PARTIAL,UTILITY WORK,480-268-9669
SKY HARBOR CIR: BUCKEYE RD - 24TH ST,09-23-2019 - 09/30/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,602-553-0005
MCDOWELL RD: 79TH AVE - 83RD AVE,09-24-2019 - 09/30/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
1ST ST: MONROE ST - ADAMS ST,09-30-2019 - 09/30/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
35TH AVE: OSBORN RD - EARLL DR,09-25-2019 - 09/30/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
PEORIA AVE: 28TH AVE - 27TH DR,09-26-2019 - 09/30/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
GARFIELD ST: 10TH ST - 11TH ST,09-26-2019 - 09/30/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
75TH AVE: SELLS DR - MEADOWBROOK AVE,09-27-2019 - 09/30/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
OSBORN RD: 18TH ST - 20TH ST,09-17-2019 - 10/01/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
59TH AVE: PINNACLE PEAK RD - ALAMEDA RD,09-17-2019 - 10/01/2019,PARTIAL,STREET TRANSPORTATION WORK,480-268-9669
THOMAS RD: 69TH AVE - 71ST AVE,09-30-2019 - 10/01/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
WASHINGTON ST: 15TH AVE - 16TH AVE,09-23-2019 - 10/01/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
71ST AVE: THOMAS RD - SHEILA LN,09-25-2019 - 10/01/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
MCKINLEY ST: 1ST AVE - 2ND AVE,09-30-2019 - 10/01/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
91ST AVE: SUPERIOR AVE - ILLINI ST,09-26-2019 - 10/01/2019,PARTIAL,STREET TRANSPORTATION WORK,602-532-6250
99TH AVE: RIVERSIDE AVE - ILLINI ST,09-26-2019 - 10/01/2019,PARTIAL,STREET TRANSPORTATION WORK,602-532-6250
15TH AVE: SUNLAND AVE - SOUTHERN AVE,09-30-2019 - 10/01/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
INDIAN SCHOOL RD: 5TH AVE - 6TH DR,09-26-2019 - 10/01/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
CORAL GABLES DR: PIPING ROCK CT - GLENEAGLES DR,09-30-2019 - 10/01/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
GREENWAY PKWY: 3RD AVE - 7TH AVE,09-30-2019 - 10/01/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
BELL RD: 31ST ST - 30TH ST,09-30-2019 - 10/01/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
